ENV_SETUP,EH0001
adb command test fail,ADB001
TEST_ADB_ROOT,I0TRT0
TEST_PUSH_BURNIN,I0TPB0
TEST_START_TO_BURNIN,I0TSB0
CAMERA_TEMP_THERMISTOR_SB_1_1,ITC110
IMAGE_CAPTURE_1_1,IIC110
IR_LED_ON_50MA,ILIR00
RGB_LED_ALL_ON_10MA,ILRGB0
WIFI_RESET_AND_BOOT_1_1,IWI110
WIFI_RESET_AND_BOOT_1_2,IWI120
WIFI_RESET_AND_BOOT_1_3,IWI130
WIFI_RESET_AND_BOOT_1_4,IWI140
WIFI_RESET_AND_BOOT_1_5,IWI150
WIFI_RESET_AND_BOOT_1_6,IWI160
WIFI_RESET_AND_BOOT_1_7,IWI170
WIFI_RESET_AND_BOOT_1_8,IWI180
WIFI_RESET_AND_BOOT_1_9,IWI190
WIFI_RESET_AND_BOOT_1_10,IWI1A0
BT_RESET_AND_BOOT_1_1,IBT110
BT_RESET_AND_BOOT_1_2,IBT120
BT_RESET_AND_BOOT_1_3,IBT130
BT_RESET_AND_BOOT_1_4,IBT140
BT_RESET_AND_BOOT_1_5,IBT150
BT_RESET_AND_BOOT_1_6,IBT160
BT_RESET_AND_BOOT_1_7,IBT170
BT_RESET_AND_BOOT_1_8,IBT180
BT_RESET_AND_BOOT_1_9,IBT190
BT_RESET_AND_BOOT_1_10,IBT1A0
TOGGLE_ICR_1_1,IR0110
TOGGLE_ICR_1_2,IR0120
TOGGLE_ICR_1_3,IR0130
TOGGLE_ICR_1_4,IR0140
TOGGLE_ICR_1_5,IR0150
READ_TEMP_THERMISTOR_SB_1_1,ITB110
READ_TEMP_THERMISTOR_MPP2_SOC_1_1,ITS110
READ_TEMP_THERMISTOR_MPP3_WIFI_1_1,ITW110
AUDIO_STRESS_TEST_1_1,IA0110
AUDIO_STRESS_TEST_1_2,IA0120
AUDIO_STRESS_TEST_1_3,IA0130
AUDIO_STRESS_TEST_1_4,IA0140
AUDIO_STRESS_TEST_1_5,IA0150
AUDIO_STRESS_TEST_1_6,IA0160
AUDIO_STRESS_TEST_1_7,IA0170
AUDIO_STRESS_TEST_1_8,IA0180
AUDIO_STRESS_TEST_1_9,IA0190
AUDIO_STRESS_TEST_1_10,IA01A0
AUDIO_STRESS_TEST_1_11,IA01B0
AUDIO_STRESS_TEST_1_12,IA01C0
AUDIO_STRESS_TEST_1_13,IA01D0
AUDIO_STRESS_TEST_1_14,IA01E0
AUDIO_STRESS_TEST_1_15,IA01F0
AUDIO_STRESS_TEST_1_16,IA01G0
AUDIO_STRESS_TEST_1_17,IA01H0
AUDIO_STRESS_TEST_1_18,IA01I0
AUDIO_STRESS_TEST_1_19,IA01J0
AUDIO_STRESS_TEST_1_20,IA01K0
AUDIO_STRESS_TEST_1_21,IA01L0
AUDIO_STRESS_TEST_1_22,IA01M0
AUDIO_STRESS_TEST_1_23,IA01N0
AUDIO_STRESS_TEST_1_24,IA01O0
Coprocessor_STRESS_TEST_1_1,IC0110
ENV_SET_MID_1_1,IE0110
MEM_STRESS_TEST_1_1,IM0110
CAMERA_TEMP_THERMISTOR_SB_2_1,ITC210
IMAGE_CAPTURE_2_1,IIC210
WIFI_RESET_AND_BOOT_2_1,IWI210
WIFI_RESET_AND_BOOT_2_2,IWI220
WIFI_RESET_AND_BOOT_2_3,IWI230
WIFI_RESET_AND_BOOT_2_4,IWI240
WIFI_RESET_AND_BOOT_2_5,IWI250
WIFI_RESET_AND_BOOT_2_6,IWI260
WIFI_RESET_AND_BOOT_2_7,IWI270
WIFI_RESET_AND_BOOT_2_8,IWI280
WIFI_RESET_AND_BOOT_2_9,IWI290
WIFI_RESET_AND_BOOT_2_10,IWI2A0
BT_RESET_AND_BOOT_2_1,IBT210
BT_RESET_AND_BOOT_2_2,IBT220
BT_RESET_AND_BOOT_2_3,IBT230
BT_RESET_AND_BOOT_2_4,IBT240
BT_RESET_AND_BOOT_2_5,IBT250
BT_RESET_AND_BOOT_2_6,IBT260
BT_RESET_AND_BOOT_2_7,IBT270
BT_RESET_AND_BOOT_2_8,IBT280
BT_RESET_AND_BOOT_2_9,IBT290
BT_RESET_AND_BOOT_2_10,IBT2A0
TOGGLE_ICR_2_1,IR0210
TOGGLE_ICR_2_2,IR0220
TOGGLE_ICR_2_3,IR0230
TOGGLE_ICR_2_4,IR0240
TOGGLE_ICR_2_5,IR0250
READ_TEMP_THERMISTOR_SB_2_1,ITB210
READ_TEMP_THERMISTOR_MPP2_SOC_2_1,ITS210
READ_TEMP_THERMISTOR_MPP3_WIFI_2_1,ITW210
AUDIO_STRESS_TEST_2_1,IA0210
AUDIO_STRESS_TEST_2_2,IA0220
AUDIO_STRESS_TEST_2_3,IA0230
AUDIO_STRESS_TEST_2_4,IA0240
AUDIO_STRESS_TEST_2_5,IA0250
AUDIO_STRESS_TEST_2_6,IA0260
AUDIO_STRESS_TEST_2_7,IA0270
AUDIO_STRESS_TEST_2_8,IA0280
AUDIO_STRESS_TEST_2_9,IA0290
AUDIO_STRESS_TEST_2_10,IA02A0
AUDIO_STRESS_TEST_2_11,IA02B0
AUDIO_STRESS_TEST_2_12,IA02C0
AUDIO_STRESS_TEST_2_13,IA02D0
AUDIO_STRESS_TEST_2_14,IA02E0
AUDIO_STRESS_TEST_2_15,IA02F0
AUDIO_STRESS_TEST_2_16,IA02G0
AUDIO_STRESS_TEST_2_17,IA02H0
AUDIO_STRESS_TEST_2_18,IA02I0
AUDIO_STRESS_TEST_2_19,IA02J0
AUDIO_STRESS_TEST_2_20,IA02K0
AUDIO_STRESS_TEST_2_21,IA02L0
AUDIO_STRESS_TEST_2_22,IA02M0
AUDIO_STRESS_TEST_2_23,IA02N0
AUDIO_STRESS_TEST_2_24,IA02O0
Coprocessor_STRESS_TEST_2_1,IC0210
ENV_SET_MID_2_1,IE0210
MEM_STRESS_TEST_2_1,IM0210
CAMERA_TEMP_THERMISTOR_SB_3_1,ITC310
IMAGE_CAPTURE_3_1,IIC310
WIFI_RESET_AND_BOOT_3_1,IWI310
WIFI_RESET_AND_BOOT_3_2,IWI320
WIFI_RESET_AND_BOOT_3_3,IWI330
WIFI_RESET_AND_BOOT_3_4,IWI340
WIFI_RESET_AND_BOOT_3_5,IWI350
WIFI_RESET_AND_BOOT_3_6,IWI360
WIFI_RESET_AND_BOOT_3_7,IWI370
WIFI_RESET_AND_BOOT_3_8,IWI380
WIFI_RESET_AND_BOOT_3_9,IWI390
WIFI_RESET_AND_BOOT_3_10,IWI3A0
BT_RESET_AND_BOOT_3_1,IBT310
BT_RESET_AND_BOOT_3_2,IBT320
BT_RESET_AND_BOOT_3_3,IBT330
BT_RESET_AND_BOOT_3_4,IBT340
BT_RESET_AND_BOOT_3_5,IBT350
BT_RESET_AND_BOOT_3_6,IBT360
BT_RESET_AND_BOOT_3_7,IBT370
BT_RESET_AND_BOOT_3_8,IBT380
BT_RESET_AND_BOOT_3_9,IBT390
BT_RESET_AND_BOOT_3_10,IBT3A0
TOGGLE_ICR_3_1,IR0310
TOGGLE_ICR_3_2,IR0320
TOGGLE_ICR_3_3,IR0330
TOGGLE_ICR_3_4,IR0340
TOGGLE_ICR_3_5,IR0350
READ_TEMP_THERMISTOR_SB_3_1,ITB310
READ_TEMP_THERMISTOR_MPP2_SOC_3_1,ITS310
READ_TEMP_THERMISTOR_MPP3_WIFI_3_1,ITW310
AUDIO_STRESS_TEST_3_1,IA0310
AUDIO_STRESS_TEST_3_2,IA0320
AUDIO_STRESS_TEST_3_3,IA0330
AUDIO_STRESS_TEST_3_4,IA0340
AUDIO_STRESS_TEST_3_5,IA0350
AUDIO_STRESS_TEST_3_6,IA0360
AUDIO_STRESS_TEST_3_7,IA0370
AUDIO_STRESS_TEST_3_8,IA0380
AUDIO_STRESS_TEST_3_9,IA0390
AUDIO_STRESS_TEST_3_10,IA03A0
AUDIO_STRESS_TEST_3_11,IA03B0
AUDIO_STRESS_TEST_3_12,IA03C0
AUDIO_STRESS_TEST_3_13,IA03D0
AUDIO_STRESS_TEST_3_14,IA03E0
AUDIO_STRESS_TEST_3_15,IA03F0
AUDIO_STRESS_TEST_3_16,IA03G0
AUDIO_STRESS_TEST_3_17,IA03H0
AUDIO_STRESS_TEST_3_18,IA03I0
AUDIO_STRESS_TEST_3_19,IA03J0
AUDIO_STRESS_TEST_3_20,IA03K0
AUDIO_STRESS_TEST_3_21,IA03L0
AUDIO_STRESS_TEST_3_22,IA03M0
AUDIO_STRESS_TEST_3_23,IA03N0
AUDIO_STRESS_TEST_3_24,IA03O0
Coprocessor_STRESS_TEST_3_1,IC0310
ENV_SET_MID_3_1,IE0310
MEM_STRESS_TEST_3_1,IM0310
CAMERA_TEMP_THERMISTOR_SB_4_1,ITC410
IMAGE_CAPTURE_4_1,IIC410
WIFI_RESET_AND_BOOT_4_1,IWI410
WIFI_RESET_AND_BOOT_4_2,IWI420
WIFI_RESET_AND_BOOT_4_3,IWI430
WIFI_RESET_AND_BOOT_4_4,IWI440
WIFI_RESET_AND_BOOT_4_5,IWI450
WIFI_RESET_AND_BOOT_4_6,IWI460
WIFI_RESET_AND_BOOT_4_7,IWI470
WIFI_RESET_AND_BOOT_4_8,IWI480
WIFI_RESET_AND_BOOT_4_9,IWI490
WIFI_RESET_AND_BOOT_4_10,IWI4A0
BT_RESET_AND_BOOT_4_1,IBT410
BT_RESET_AND_BOOT_4_2,IBT420
BT_RESET_AND_BOOT_4_3,IBT430
BT_RESET_AND_BOOT_4_4,IBT440
BT_RESET_AND_BOOT_4_5,IBT450
BT_RESET_AND_BOOT_4_6,IBT460
BT_RESET_AND_BOOT_4_7,IBT470
BT_RESET_AND_BOOT_4_8,IBT480
BT_RESET_AND_BOOT_4_9,IBT490
BT_RESET_AND_BOOT_4_10,IBT4A0
TOGGLE_ICR_4_1,IR0410
TOGGLE_ICR_4_2,IR0420
TOGGLE_ICR_4_3,IR0430
TOGGLE_ICR_4_4,IR0440
TOGGLE_ICR_4_5,IR0450
READ_TEMP_THERMISTOR_SB_4_1,ITB410
READ_TEMP_THERMISTOR_MPP2_SOC_4_1,ITS410
READ_TEMP_THERMISTOR_MPP3_WIFI_4_1,ITW410
AUDIO_STRESS_TEST_4_1,IA0410
AUDIO_STRESS_TEST_4_2,IA0420
AUDIO_STRESS_TEST_4_3,IA0430
AUDIO_STRESS_TEST_4_4,IA0440
AUDIO_STRESS_TEST_4_5,IA0450
AUDIO_STRESS_TEST_4_6,IA0460
AUDIO_STRESS_TEST_4_7,IA0470
AUDIO_STRESS_TEST_4_8,IA0480
AUDIO_STRESS_TEST_4_9,IA0490
AUDIO_STRESS_TEST_4_10,IA04A0
AUDIO_STRESS_TEST_4_11,IA04B0
AUDIO_STRESS_TEST_4_12,IA04C0
AUDIO_STRESS_TEST_4_13,IA04D0
AUDIO_STRESS_TEST_4_14,IA04E0
AUDIO_STRESS_TEST_4_15,IA04F0
AUDIO_STRESS_TEST_4_16,IA04G0
AUDIO_STRESS_TEST_4_17,IA04H0
AUDIO_STRESS_TEST_4_18,IA04I0
AUDIO_STRESS_TEST_4_19,IA04J0
AUDIO_STRESS_TEST_4_20,IA04K0
AUDIO_STRESS_TEST_4_21,IA04L0
AUDIO_STRESS_TEST_4_22,IA04M0
AUDIO_STRESS_TEST_4_23,IA04N0
AUDIO_STRESS_TEST_4_24,IA04O0
Coprocessor_STRESS_TEST_4_1,IC0410
ENV_SET_MID_4_1,IE0410
MEM_STRESS_TEST_4_1,IM0410
CAMERA_TEMP_THERMISTOR_SB_5_1,ITC510
IMAGE_CAPTURE_5_1,IIC510
WIFI_RESET_AND_BOOT_5_1,IWI510
WIFI_RESET_AND_BOOT_5_2,IWI520
WIFI_RESET_AND_BOOT_5_3,IWI530
WIFI_RESET_AND_BOOT_5_4,IWI540
WIFI_RESET_AND_BOOT_5_5,IWI550
WIFI_RESET_AND_BOOT_5_6,IWI560
WIFI_RESET_AND_BOOT_5_7,IWI570
WIFI_RESET_AND_BOOT_5_8,IWI580
WIFI_RESET_AND_BOOT_5_9,IWI590
WIFI_RESET_AND_BOOT_5_10,IWI5A0
BT_RESET_AND_BOOT_5_1,IBT510
BT_RESET_AND_BOOT_5_2,IBT520
BT_RESET_AND_BOOT_5_3,IBT530
BT_RESET_AND_BOOT_5_4,IBT540
BT_RESET_AND_BOOT_5_5,IBT550
BT_RESET_AND_BOOT_5_6,IBT560
BT_RESET_AND_BOOT_5_7,IBT570
BT_RESET_AND_BOOT_5_8,IBT580
BT_RESET_AND_BOOT_5_9,IBT590
BT_RESET_AND_BOOT_5_10,IBT5A0
TOGGLE_ICR_5_1,IR0510
TOGGLE_ICR_5_2,IR0520
TOGGLE_ICR_5_3,IR0530
TOGGLE_ICR_5_4,IR0540
TOGGLE_ICR_5_5,IR0550
READ_TEMP_THERMISTOR_SB_5_1,ITB510
READ_TEMP_THERMISTOR_MPP2_SOC_5_1,ITS510
READ_TEMP_THERMISTOR_MPP3_WIFI_5_1,ITW510
AUDIO_STRESS_TEST_5_1,IA0510
AUDIO_STRESS_TEST_5_2,IA0520
AUDIO_STRESS_TEST_5_3,IA0530
AUDIO_STRESS_TEST_5_4,IA0540
AUDIO_STRESS_TEST_5_5,IA0550
AUDIO_STRESS_TEST_5_6,IA0560
AUDIO_STRESS_TEST_5_7,IA0570
AUDIO_STRESS_TEST_5_8,IA0580
AUDIO_STRESS_TEST_5_9,IA0590
AUDIO_STRESS_TEST_5_10,IA05A0
AUDIO_STRESS_TEST_5_11,IA05B0
AUDIO_STRESS_TEST_5_12,IA05C0
AUDIO_STRESS_TEST_5_13,IA05D0
AUDIO_STRESS_TEST_5_14,IA05E0
AUDIO_STRESS_TEST_5_15,IA05F0
AUDIO_STRESS_TEST_5_16,IA05G0
AUDIO_STRESS_TEST_5_17,IA05H0
AUDIO_STRESS_TEST_5_18,IA05I0
AUDIO_STRESS_TEST_5_19,IA05J0
AUDIO_STRESS_TEST_5_20,IA05K0
AUDIO_STRESS_TEST_5_21,IA05L0
AUDIO_STRESS_TEST_5_22,IA05M0
AUDIO_STRESS_TEST_5_23,IA05N0
AUDIO_STRESS_TEST_5_24,IA05O0
Coprocessor_STRESS_TEST_5_1,IC0510
ENV_SET_MID_5_1,IE0510
MEM_STRESS_TEST_5_1,IM0510
CAMERA_TEMP_THERMISTOR_SB_6_1,ITC610
IMAGE_CAPTURE_6_1,IIC610
WIFI_RESET_AND_BOOT_6_1,IWI610
WIFI_RESET_AND_BOOT_6_2,IWI620
WIFI_RESET_AND_BOOT_6_3,IWI630
WIFI_RESET_AND_BOOT_6_4,IWI640
WIFI_RESET_AND_BOOT_6_5,IWI650
WIFI_RESET_AND_BOOT_6_6,IWI660
WIFI_RESET_AND_BOOT_6_7,IWI670
WIFI_RESET_AND_BOOT_6_8,IWI680
WIFI_RESET_AND_BOOT_6_9,IWI690
WIFI_RESET_AND_BOOT_6_10,IWI6A0
BT_RESET_AND_BOOT_6_1,IBT610
BT_RESET_AND_BOOT_6_2,IBT620
BT_RESET_AND_BOOT_6_3,IBT630
BT_RESET_AND_BOOT_6_4,IBT640
BT_RESET_AND_BOOT_6_5,IBT650
BT_RESET_AND_BOOT_6_6,IBT660
BT_RESET_AND_BOOT_6_7,IBT670
BT_RESET_AND_BOOT_6_8,IBT680
BT_RESET_AND_BOOT_6_9,IBT690
BT_RESET_AND_BOOT_6_10,IBT6A0
TOGGLE_ICR_6_1,IR0610
TOGGLE_ICR_6_2,IR0620
TOGGLE_ICR_6_3,IR0630
TOGGLE_ICR_6_4,IR0640
TOGGLE_ICR_6_5,IR0650
READ_TEMP_THERMISTOR_SB_6_1,ITB610
READ_TEMP_THERMISTOR_MPP2_SOC_6_1,ITS610
READ_TEMP_THERMISTOR_MPP3_WIFI_6_1,ITW610
AUDIO_STRESS_TEST_6_1,IA0610
AUDIO_STRESS_TEST_6_2,IA0620
AUDIO_STRESS_TEST_6_3,IA0630
AUDIO_STRESS_TEST_6_4,IA0640
AUDIO_STRESS_TEST_6_5,IA0650
AUDIO_STRESS_TEST_6_6,IA0660
AUDIO_STRESS_TEST_6_7,IA0670
AUDIO_STRESS_TEST_6_8,IA0680
AUDIO_STRESS_TEST_6_9,IA0690
AUDIO_STRESS_TEST_6_10,IA06A0
AUDIO_STRESS_TEST_6_11,IA06B0
AUDIO_STRESS_TEST_6_12,IA06C0
AUDIO_STRESS_TEST_6_13,IA06D0
AUDIO_STRESS_TEST_6_14,IA06E0
AUDIO_STRESS_TEST_6_15,IA06F0
AUDIO_STRESS_TEST_6_16,IA06G0
AUDIO_STRESS_TEST_6_17,IA06H0
AUDIO_STRESS_TEST_6_18,IA06I0
AUDIO_STRESS_TEST_6_19,IA06J0
AUDIO_STRESS_TEST_6_20,IA06K0
AUDIO_STRESS_TEST_6_21,IA06L0
AUDIO_STRESS_TEST_6_22,IA06M0
AUDIO_STRESS_TEST_6_23,IA06N0
AUDIO_STRESS_TEST_6_24,IA06O0
Coprocessor_STRESS_TEST_6_1,IC0610
ENV_SET_MID_6_1,IE0610
MEM_STRESS_TEST_6_1,IM0610
CAMERA_TEMP_THERMISTOR_SB_7_1,ITC710
IMAGE_CAPTURE_7_1,IIC710
WIFI_RESET_AND_BOOT_7_1,IWI710
WIFI_RESET_AND_BOOT_7_2,IWI720
WIFI_RESET_AND_BOOT_7_3,IWI730
WIFI_RESET_AND_BOOT_7_4,IWI740
WIFI_RESET_AND_BOOT_7_5,IWI750
WIFI_RESET_AND_BOOT_7_6,IWI760
WIFI_RESET_AND_BOOT_7_7,IWI770
WIFI_RESET_AND_BOOT_7_8,IWI780
WIFI_RESET_AND_BOOT_7_9,IWI790
WIFI_RESET_AND_BOOT_7_10,IWI7A0
BT_RESET_AND_BOOT_7_1,IBT710
BT_RESET_AND_BOOT_7_2,IBT720
BT_RESET_AND_BOOT_7_3,IBT730
BT_RESET_AND_BOOT_7_4,IBT740
BT_RESET_AND_BOOT_7_5,IBT750
BT_RESET_AND_BOOT_7_6,IBT760
BT_RESET_AND_BOOT_7_7,IBT770
BT_RESET_AND_BOOT_7_8,IBT780
BT_RESET_AND_BOOT_7_9,IBT790
BT_RESET_AND_BOOT_7_10,IBT7A0
TOGGLE_ICR_7_1,IR0710
TOGGLE_ICR_7_2,IR0720
TOGGLE_ICR_7_3,IR0730
TOGGLE_ICR_7_4,IR0740
TOGGLE_ICR_7_5,IR0750
READ_TEMP_THERMISTOR_SB_7_1,ITB710
READ_TEMP_THERMISTOR_MPP2_SOC_7_1,ITS710
READ_TEMP_THERMISTOR_MPP3_WIFI_7_1,ITW710
AUDIO_STRESS_TEST_7_1,IA0710
AUDIO_STRESS_TEST_7_2,IA0720
AUDIO_STRESS_TEST_7_3,IA0730
AUDIO_STRESS_TEST_7_4,IA0740
AUDIO_STRESS_TEST_7_5,IA0750
AUDIO_STRESS_TEST_7_6,IA0760
AUDIO_STRESS_TEST_7_7,IA0770
AUDIO_STRESS_TEST_7_8,IA0780
AUDIO_STRESS_TEST_7_9,IA0790
AUDIO_STRESS_TEST_7_10,IA07A0
AUDIO_STRESS_TEST_7_11,IA07B0
AUDIO_STRESS_TEST_7_12,IA07C0
AUDIO_STRESS_TEST_7_13,IA07D0
AUDIO_STRESS_TEST_7_14,IA07E0
AUDIO_STRESS_TEST_7_15,IA07F0
AUDIO_STRESS_TEST_7_16,IA07G0
AUDIO_STRESS_TEST_7_17,IA07H0
AUDIO_STRESS_TEST_7_18,IA07I0
AUDIO_STRESS_TEST_7_19,IA07J0
AUDIO_STRESS_TEST_7_20,IA07K0
AUDIO_STRESS_TEST_7_21,IA07L0
AUDIO_STRESS_TEST_7_22,IA07M0
AUDIO_STRESS_TEST_7_23,IA07N0
AUDIO_STRESS_TEST_7_24,IA07O0
Coprocessor_STRESS_TEST_7_1,IC0710
ENV_SET_MID_7_1,IE0710
MEM_STRESS_TEST_7_1,IM0710
CAMERA_TEMP_THERMISTOR_SB_8_1,ITC810
IMAGE_CAPTURE_8_1,IIC810
WIFI_RESET_AND_BOOT_8_1,IWI810
WIFI_RESET_AND_BOOT_8_2,IWI820
WIFI_RESET_AND_BOOT_8_3,IWI830
WIFI_RESET_AND_BOOT_8_4,IWI840
WIFI_RESET_AND_BOOT_8_5,IWI850
WIFI_RESET_AND_BOOT_8_6,IWI860
WIFI_RESET_AND_BOOT_8_7,IWI870
WIFI_RESET_AND_BOOT_8_8,IWI880
WIFI_RESET_AND_BOOT_8_9,IWI890
WIFI_RESET_AND_BOOT_8_10,IWI8A0
BT_RESET_AND_BOOT_8_1,IBT810
BT_RESET_AND_BOOT_8_2,IBT820
BT_RESET_AND_BOOT_8_3,IBT830
BT_RESET_AND_BOOT_8_4,IBT840
BT_RESET_AND_BOOT_8_5,IBT850
BT_RESET_AND_BOOT_8_6,IBT860
BT_RESET_AND_BOOT_8_7,IBT870
BT_RESET_AND_BOOT_8_8,IBT880
BT_RESET_AND_BOOT_8_9,IBT890
BT_RESET_AND_BOOT_8_10,IBT8A0
TOGGLE_ICR_8_1,IR0810
TOGGLE_ICR_8_2,IR0820
TOGGLE_ICR_8_3,IR0830
TOGGLE_ICR_8_4,IR0840
TOGGLE_ICR_8_5,IR0850
READ_TEMP_THERMISTOR_SB_8_1,ITB810
READ_TEMP_THERMISTOR_MPP2_SOC_8_1,ITS810
READ_TEMP_THERMISTOR_MPP3_WIFI_8_1,ITW810
AUDIO_STRESS_TEST_8_1,IA0810
AUDIO_STRESS_TEST_8_2,IA0820
AUDIO_STRESS_TEST_8_3,IA0830
AUDIO_STRESS_TEST_8_4,IA0840
AUDIO_STRESS_TEST_8_5,IA0850
AUDIO_STRESS_TEST_8_6,IA0860
AUDIO_STRESS_TEST_8_7,IA0870
AUDIO_STRESS_TEST_8_8,IA0880
AUDIO_STRESS_TEST_8_9,IA0890
AUDIO_STRESS_TEST_8_10,IA08A0
AUDIO_STRESS_TEST_8_11,IA08B0
AUDIO_STRESS_TEST_8_12,IA08C0
AUDIO_STRESS_TEST_8_13,IA08D0
AUDIO_STRESS_TEST_8_14,IA08E0
AUDIO_STRESS_TEST_8_15,IA08F0
AUDIO_STRESS_TEST_8_16,IA08G0
AUDIO_STRESS_TEST_8_17,IA08H0
AUDIO_STRESS_TEST_8_18,IA08I0
AUDIO_STRESS_TEST_8_19,IA08J0
AUDIO_STRESS_TEST_8_20,IA08K0
AUDIO_STRESS_TEST_8_21,IA08L0
AUDIO_STRESS_TEST_8_22,IA08M0
AUDIO_STRESS_TEST_8_23,IA08N0
AUDIO_STRESS_TEST_8_24,IA08O0
Coprocessor_STRESS_TEST_8_1,IC0810
ENV_SET_MID_8_1,IE0810
MEM_STRESS_TEST_8_1,IM0810
CAMERA_TEMP_THERMISTOR_SB_9_1,ITC910
ENV_SET_OFF_9_1,IE0910
IMAGE_CAPTURE_9_1,IIC910
TEST_PULL_PICTURE,I0TPP0
CAMERA_TEMPERATURE_LOW,I0CTL0
DPC_WHITE_PIXELS,IDWPL0
DARK_MEAN,IDDML0
DARK_STD,IDDSL0
DARK_ROW_STD,IDRSL0
DARK_COL_STD,IDCSL0
DARK_LOCAL_ROW_STD,IDLRL0
DARK_LOCAL_COL_STD,IDLCL0
CAMERA_TEMPERATURE_HIGH,I0CTH0
DPC_WHITE_PIXELS_HIGHTEMP,IDWPH0
DARK_MEAN_HIGHTEMP,IDDMH0
DARK_STD_HIGHTEMP,IDDSH0
DARK_ROW_STD_HIGHTEMP,IDRSH0
DARK_COL_STD_HIGHTEMP,IDCSH0
DARK_LOCAL_ROW_STD_HIGHTEMP,IDLRH0
DARK_LOCAL_COL_STD_HIGHTEMP,IDLCH0
SEND_LOG_TO_CAMERA,I0SLC0
